Start,End,Frequency,Route
St James's Park,Woodford,1,St James's Park - Woodford
St James's Park,Willesden Junction,1,St James's Park - Willesden Junction
St James's Park,Willesden Green,1,St James's Park - Willesden Green
St James's Park,Westminster,1,St James's Park - Westminster
St Pauls,Canary Wharf EL,1,St Pauls - Canary Wharf EL
St Pauls,Canonbury,1,St Pauls - Canonbury
Westminster,Harrow-on-the-Hill,1,Westminster - Harrow-on-the-Hill
Westminster,Holborn,1,Westminster - Holborn
Stamford Brook,Boston Manor,1,Stamford Brook - Boston Manor
West Ham,London Bridge,1,West Ham - London Bridge
West Hampstead,Holland Park,1,West Hampstead - Holland Park
West Hampstead,High Barnet,1,West Hampstead - High Barnet
West Hampstead,Finsbury Park,1,West Hampstead - Finsbury Park
West Hampstead,Cheshunt,1,West Hampstead - Cheshunt
West Hampstead,Cannon Street,1,West Hampstead - Cannon Street
West Hampstead,Baker Street,1,West Hampstead - Baker Street
West Ham,West Hampstead,1,West Ham - West Hampstead
West Ham,Southwark,1,West Ham - Southwark
West Ham,Royal Oak,1,West Ham - Royal Oak
West Ham,Rotherhithe,1,West Ham - Rotherhithe
West Ham,Queens Rd Peckham,1,West Ham - Queens Rd Peckham
West Ham,Ilford,1,West Ham - Ilford
West Hampstead,Hoxton,1,West Hampstead - Hoxton
West Hampstead,Holborn,1,West Hampstead - Holborn
Whitechapel,Stanmore,1,Whitechapel - Stanmore
Westminster,Chancery Lane,1,Westminster - Chancery Lane
Westminster,Clapham Junction,1,Westminster - Clapham Junction
Whitechapel,Belsize Park,1,Whitechapel - Belsize Park
Whitechapel,Becontree,1,Whitechapel - Becontree
Whitechapel,Acton Central,1,Whitechapel - Acton Central
White Hart Lane,Warren Street,1,White Hart Lane - Warren Street
White Hart Lane,Wanstead Park,1,White Hart Lane - Wanstead Park
White Hart Lane,Tottenham Hale,1,White Hart Lane - Tottenham Hale
White Hart Lane,Tottenham Court Road,1,White Hart Lane - Tottenham Court Road
West Hampstead,Shepherds Bush LO,1,West Hampstead - Shepherds Bush LO
West Hampstead,Kilburn High Road,1,West Hampstead - Kilburn High Road
Westminster,Hounslow Central,1,Westminster - Hounslow Central
West Finchley,Wembley Park,1,West Finchley - Wembley Park
West Ealing,Canary Wharf,1,West Ealing - Canary Wharf
West Ealing,Brentwood,1,West Ealing - Brentwood
West Drayton,Wimbledon,1,West Drayton - Wimbledon
West Drayton,Wembley Central,1,West Drayton - Wembley Central
West Drayton,Pimlico,1,West Drayton - Pimlico
West Drayton,Mile End,1,West Drayton - Mile End
West Drayton,Liverpool Street,1,West Drayton - Liverpool Street
West Drayton,Liverpool St NR,1,West Drayton - Liverpool St NR
West Drayton,Kew Gardens,1,West Drayton - Kew Gardens
West Drayton,Hammersmith D&P,1,West Drayton - Hammersmith D&P
West Drayton,Clapham Junction,1,West Drayton - Clapham Junction
West Ham,Chancery Lane,1,West Ham - Chancery Lane
West Hampstead,Kingsbury,1,West Hampstead - Kingsbury
West Ham,Colliers Wood,1,West Ham - Colliers Wood
West Ham,Heathrow Terminal 4,1,West Ham - Heathrow Terminal 4
West Hampstead,Preston Road,1,West Hampstead - Preston Road
West Hampstead,Pimlico,1,West Hampstead - Pimlico
West Hampstead,Oxford Circus,1,West Hampstead - Oxford Circus
West Hampstead,Oval,1,West Hampstead - Oval
West Hampstead,Old Street,1,West Hampstead - Old Street
West Hampstead,Northfields,1,West Hampstead - Northfields
West Hampstead,Monument,1,West Hampstead - Monument
West Hampstead,Liverpool Street,1,West Hampstead - Liverpool Street
West Hampstead,Ladbroke Grove,1,West Hampstead - Ladbroke Grove
White Hart Lane,Stratford,1,White Hart Lane - Stratford
White Hart Lane,Oakwood,1,White Hart Lane - Oakwood
White Hart Lane,Holborn,1,White Hart Lane - Holborn
Whitechapel,East Finchley,1,Whitechapel - East Finchley
Whitechapel,Mile End,1,Whitechapel - Mile End
Whitechapel,Marble Arch,1,Whitechapel - Marble Arch
Whitechapel,London Bridge,1,Whitechapel - London Bridge
White City,London Bridge,1,White City - London Bridge
Whitechapel,Limehouse DLR,1,Whitechapel - Limehouse DLR
Whitechapel,Holborn,1,Whitechapel - Holborn
Whitechapel,Hammersmith D&P,1,Whitechapel - Hammersmith D&P
Whitechapel,Hainault,1,Whitechapel - Hainault
Whitechapel,Green Park,1,Whitechapel - Green Park
Whitechapel,Gants Hill,1,Whitechapel - Gants Hill
Whitechapel,Finchley Central,1,Whitechapel - Finchley Central
Whitechapel,Earls Court,1,Whitechapel - Earls Court
White Hart Lane,Green Park,1,White Hart Lane - Green Park
Whitechapel,Denmark Hill,1,Whitechapel - Denmark Hill
Whitechapel,Dalston Kingsland,1,Whitechapel - Dalston Kingsland
Whitechapel,Dagenham Heathway,1,Whitechapel - Dagenham Heathway
Whitechapel,Clapham South,1,Whitechapel - Clapham South
Whitechapel,Lancaster Gate,1,Whitechapel - Lancaster Gate
Westminster,Charing Cross,1,Westminster - Charing Cross
White City,Liverpool Street,1,White City - Liverpool Street
White City,Holborn,1,White City - Holborn
Westminster,Liverpool St NR,1,Westminster - Liverpool St NR
Westminster,Lambeth North,1,Westminster - Lambeth North
Westminster,Imperial Wharf,1,Westminster - Imperial Wharf
Whitechapel,Old Street,1,Whitechapel - Old Street
Whitechapel,Oxford Circus,1,Whitechapel - Oxford Circus
Whitechapel,Paddington,1,Whitechapel - Paddington
Whitechapel,Putney Bridge,1,Whitechapel - Putney Bridge
White City,Woolwich Arsenal DLR,1,White City - Woolwich Arsenal DLR
White City,Woodford,1,White City - Woodford
White City,Wembley Park,1,White City - Wembley Park
White City,Victoria,1,White City - Victoria
White City,Tufnell Park,1,White City - Tufnell Park
White City,Temple,1,White City - Temple
White City,Surrey Quays,1,White City - Surrey Quays
White City,Stratford,1,White City - Stratford
White City,Pimlico,1,White City - Pimlico
White City,Piccadilly Circus,1,White City - Piccadilly Circus
White City,Parsons Green,1,White City - Parsons Green
White City,Paddington,1,White City - Paddington
White City,North Wembley,1,White City - North Wembley
White City,North Greenwich,1,White City - North Greenwich
Whitechapel,Bermondsey,1,Whitechapel - Bermondsey
Whitechapel,Canary Wharf,1,Whitechapel - Canary Wharf
Whitechapel,Chorleywood,1,Whitechapel - Chorleywood
Whitechapel,Clapham North,1,Whitechapel - Clapham North
Whitechapel,St James's Park,1,Whitechapel - St James's Park
Whitechapel,South Woodford,1,Whitechapel - South Woodford
Whitechapel,South Kensington,1,Whitechapel - South Kensington
Whitechapel,Sloane Square,1,Whitechapel - Sloane Square
Whitechapel,Richmond,1,Whitechapel - Richmond
St Pauls,Nine Elms,1,St Pauls - Nine Elms
St James's Park,Waterloo,1,St James's Park - Waterloo
Sloane Square,Unknown,1,Sloane Square - Unknown
Stockwell,St James's Park,1,Stockwell - St James's Park
Stamford Brook,Ruislip Manor,1,Stamford Brook - Ruislip Manor
Stamford Brook,Parsons Green,1,Stamford Brook - Parsons Green
Stamford Brook,Oxford Circus,1,Stamford Brook - Oxford Circus
Stamford Brook,London Bridge,1,Stamford Brook - London Bridge
Stepney Green,Kings Cross St Pancras,1,Stepney Green - Kings Cross St Pancras
Stepney Green,North Greenwich,1,Stepney Green - North Greenwich
Stepney Green,Notting Hill Gate,1,Stepney Green - Notting Hill Gate
Stepney Green,Oakwood,1,Stepney Green - Oakwood
Stockwell,Walthamstow Central,1,Stockwell - Walthamstow Central
Stockwell,Tottenham Hale,1,Stockwell - Tottenham Hale
Stockwell,Tottenham Court Road,1,Stockwell - Tottenham Court Road
Stockwell,Southwark,1,Stockwell - Southwark
Stamford Brook,Tooting Bec,1,Stamford Brook - Tooting Bec
Stockwell,Shepherds Bush LO,1,Stockwell - Shepherds Bush LO
Stockwell,Shepherds Bush,1,Stockwell - Shepherds Bush
Stockwell,Regents Park,1,Stockwell - Regents Park
Stockwell,Limehouse DLR,1,Stockwell - Limehouse DLR
Stockwell,Knightsbridge,1,Stockwell - Knightsbridge
Stockwell,Kings Cross St Pancras,1,Stockwell - Kings Cross St Pancras
Stockwell,Kensal Rise,1,Stockwell - Kensal Rise
Stonebridge Park,Charing Cross,1,Stonebridge Park - Charing Cross
Stockwell,Holloway Road,1,Stockwell - Holloway Road
Stockwell,Heron Quays,1,Stockwell - Heron Quays
Stockwell,Euston,1,Stockwell - Euston
Stamford Brook,Stratford,1,Stamford Brook - Stratford
Stamford Hill,Kingsbury,1,Stamford Hill - Kingsbury
Stratford,Hampstead,1,Stratford - Hampstead
Stepney Green,Canary Wharf,1,Stepney Green - Canary Wharf
Stratford,Gunnersbury,1,Stratford - Gunnersbury
Stratford,Green Park,1,Stratford - Green Park
Stratford,Great Portland Street,1,Stratford - Great Portland Street
Stratford,Homerton,1,Stratford - Homerton
Stamford Brook,Goldhawk Road,1,Stamford Brook - Goldhawk Road
Stonebridge Park,Hayes & Harlington,1,Stonebridge Park - Hayes & Harlington
Stockwell,Wanstead,1,Stockwell - Wanstead
Stepney Green,Harrow-on-the-Hill,1,Stepney Green - Harrow-on-the-Hill
Stepney Green,Greenwich,1,Stepney Green - Greenwich
Stepney Green,Forest Hill,1,Stepney Green - Forest Hill
Stepney Green,Edgware Road B,1,Stepney Green - Edgware Road B
Stepney Green,Brixton,1,Stepney Green - Brixton
Stanmore,Bethnal Green,1,Stanmore - Bethnal Green
Stepney Green,Bayswater,1,Stepney Green - Bayswater
Stepney Green,Aldgate East,1,Stepney Green - Aldgate East
Star Lane DLR,Shadwell DLR,1,Star Lane DLR - Shadwell DLR
Star Lane DLR,Queensway,1,Star Lane DLR - Queensway
Star Lane DLR,Leyton,1,Star Lane DLR - Leyton
Stanmore,Stratford,1,Stanmore - Stratford
Stanmore,Southgate,1,Stanmore - Southgate
Stanmore,Piccadilly Circus,1,Stanmore - Piccadilly Circus
Stanmore,Maida Vale,1,Stanmore - Maida Vale
Stanmore,Colliers Wood,1,Stanmore - Colliers Wood
Stanmore,Blackwall,1,Stanmore - Blackwall
Stockwell,Edmonton Green,1,Stockwell - Edmonton Green
Stockwell,Dalston Junction,1,Stockwell - Dalston Junction
Stockwell,Canary Wharf,1,Stockwell - Canary Wharf
South Harrow,Deptford Bridge,1,South Harrow - Deptford Bridge
Snaresbrook,Canada Water,1,Snaresbrook - Canada Water
Snaresbrook,Belsize Park,1,Snaresbrook - Belsize Park
Snaresbrook,Bayswater,1,Snaresbrook - Bayswater
Slough,East Ham,1,Slough - East Ham
Slough,Canada Water,1,Slough - Canada Water
Sloane Square,Wimbledon,1,Sloane Square - Wimbledon
Sloane Square,Walthamstow Central,1,Sloane Square - Walthamstow Central
Sloane Square,Vauxhall,1,Sloane Square - Vauxhall
South Ealing,Victoria,1,South Ealing - Victoria
South Ealing,Whitechapel,1,South Ealing - Whitechapel
South Harrow,Buckhurst Hill,1,South Harrow - Buckhurst Hill
South Kensington,Imperial Wharf,1,South Kensington - Imperial Wharf
Stockwell,Bond Street,1,Stockwell - Bond Street
South Kensington,Hyde Park Corner,1,South Kensington - Hyde Park Corner
South Kensington,Holborn,1,South Kensington - Holborn
South Kensington,Harrow-on-the-Hill,1,South Kensington - Harrow-on-the-Hill
South Kensington,Hammersmith D&P,1,South Kensington - Hammersmith D&P
South Kensington,Hammersmith C&H,1,South Kensington - Hammersmith C&H
South Kensington,Gunnersbury,1,South Kensington - Gunnersbury
South Kensington,Greenwich,1,South Kensington - Greenwich
South Kensington,Gants Hill,1,South Kensington - Gants Hill
South Kensington,Euston Square,1,South Kensington - Euston Square
South Kensington,Euston,1,South Kensington - Euston
South Kensington,Epping,1,South Kensington - Epping
Snaresbrook,Colindale,1,Snaresbrook - Colindale
Snaresbrook,Homerton,1,Snaresbrook - Homerton
Snaresbrook,Kings Cross St Pancras,1,Snaresbrook - Kings Cross St Pancras
Snaresbrook,Leicester Square,1,Snaresbrook - Leicester Square
Stockwell,Barking,1,Stockwell - Barking
Stockwell,Baker Street,1,Stockwell - Baker Street
Stockwell,Aldgate East,1,Stockwell - Aldgate East
Stepney Green,Stratford,1,Stepney Green - Stratford
Stepney Green,Stamford Brook,1,Stepney Green - Stamford Brook
Stepney Green,Richmond,1,Stepney Green - Richmond
Stockwell,High Barnet,1,Stockwell - High Barnet
Stratford,Mornington Crescent,1,Stratford - Mornington Crescent
Southgate,Victoria,1,Southgate - Victoria
Southgate,Oxford Circus,1,Southgate - Oxford Circus
South Ealing,Stepney Green,1,South Ealing - Stepney Green
South Ealing,South Kensington,1,South Ealing - South Kensington
South Ealing,Seven Sisters,1,South Ealing - Seven Sisters
South Ealing,Ravenscourt Park,1,South Ealing - Ravenscourt Park
South Ealing,Leytonstone,1,South Ealing - Leytonstone
South Ealing,Kennington,1,South Ealing - Kennington
South Ealing,Goldhawk Road,1,South Ealing - Goldhawk Road
South Ealing,Forest Hill,1,South Ealing - Forest Hill
South Ealing,Canary Wharf,1,South Ealing - Canary Wharf
South Ealing,Baker Street,1,South Ealing - Baker Street
South Acton,Buckhurst Hill,1,South Acton - Buckhurst Hill
South Acton,Bank,1,South Acton - Bank
Snaresbrook,Tower Hill,1,Snaresbrook - Tower Hill
Stratford,Hackney Wick,1,Stratford - Hackney Wick
Stratford,Harringay Green Lanes,1,Stratford - Harringay Green Lanes
St James's Park,Stratford,1,St James's Park - Stratford
St James's Park,Hampstead,1,St James's Park - Hampstead
Southwark,Wanstead,1,Southwark - Wanstead
St James's Park,Paddington EL,1,St James's Park - Paddington EL
St James's Park,Oxford Circus,1,St James's Park - Oxford Circus
St James's Park,North Acton,1,St James's Park - North Acton
St James's Park,New Cross Gate,1,St James's Park - New Cross Gate
St James's Park,Maryland,1,St James's Park - Maryland
St James's Park,London Bridge,1,St James's Park - London Bridge
St James's Park,Liverpool Street,1,St James's Park - Liverpool Street
St James's Park,Leicester Square,1,St James's Park - Leicester Square
St James's Park,Hounslow East,1,St James's Park - Hounslow East
St James's Park,Hatton Cross,1,St James's Park - Hatton Cross
St James's Park,Hammersmith D&P,1,St James's Park - Hammersmith D&P
Southwark,Tower Hill,1,Southwark - Tower Hill
St James's Park,Turnpike Lane,1,St James's Park - Turnpike Lane
St James's Park,Finchley Central,1,St James's Park - Finchley Central
St James's Park,Chancery Lane,1,St James's Park - Chancery Lane
St James's Park,Camden Road,1,St James's Park - Camden Road
St James's Park,Barbican,1,St James's Park - Barbican
St James's Park,Baker Street,1,St James's Park - Baker Street
St James's Park,Aldgate,1,St James's Park - Aldgate
St James Street,Wembley Park,1,St James Street - Wembley Park
St James Street,Paddington,1,St James Street - Paddington
St James Street,Moorgate,1,St James Street - Moorgate
St James Street,Finchley Central,1,St James Street - Finchley Central
Southwark,Victoria,1,Southwark - Victoria
Southwark,Stratford,1,Southwark - Stratford
Stratford,Harrow-on-the-Hill,1,Stratford - Harrow-on-the-Hill
Southwark,London Bridge,1,Southwark - London Bridge
Southwark,St James's Park,1,Southwark - St James's Park
Southwark,Sloane Square,1,Southwark - Sloane Square
Southwark,Shepherds Bush,1,Southwark - Shepherds Bush
Southwark,Royal Victoria,1,Southwark - Royal Victoria
Southwark,Queensbury,1,Southwark - Queensbury
Southwark,Queens Rd Peckham,1,Southwark - Queens Rd Peckham
Southwark,Oxford Circus,1,Southwark - Oxford Circus
Southwark,Oval,1,Southwark - Oval
Southwark,Old Street,1,Southwark - Old Street
Southwark,Mile End,1,Southwark - Mile End
Southwark,Marble Arch,1,Southwark - Marble Arch
Southwark,Liverpool St NR,1,Southwark - Liverpool St NR
Southwark,Bank,1,Southwark - Bank
Southwark,Ladbroke Grove,1,Southwark - Ladbroke Grove
Southwark,Knightsbridge,1,Southwark - Knightsbridge
Southwark,Kew Gardens,1,Southwark - Kew Gardens
Southwark,Hammersmith C&H,1,Southwark - Hammersmith C&H
Southwark,Hackney Central,1,Southwark - Hackney Central
Southwark,Euston NR,1,Southwark - Euston NR
Southwark,Cutty Sark,1,Southwark - Cutty Sark
Southwark,Canary Wharf,1,Southwark - Canary Wharf
Southwark,Camden Town,1,Southwark - Camden Town
Southwark,Battersea Power Station,1,Southwark - Battersea Power Station
Southwark,Barons Court,1,Southwark - Barons Court
St James Street,Clapham South,1,St James Street - Clapham South
Southwark,Whitechapel,1,Southwark - Whitechapel
Southwark,Waterloo,1,Southwark - Waterloo
Stratford,Maida Vale,1,Stratford - Maida Vale
Stonebridge Park,West Kensington,1,Stonebridge Park - West Kensington
Stratford,Finchley Central,1,Stratford - Finchley Central
Stratford,Finchley Road,1,Stratford - Finchley Road
Stratford,Fulham Broadway,1,Stratford - Fulham Broadway
Stratford,Gospel Oak,1,Stratford - Gospel Oak
Stratford,Morden,1,Stratford - Morden
Stratford,Moorgate,1,Stratford - Moorgate
Stratford,Monument,1,Stratford - Monument
Stratford,Mill Hill East,1,Stratford - Mill Hill East
Stratford,Marylebone,1,Stratford - Marylebone
Stratford,Marble Arch,1,Stratford - Marble Arch
Stratford,London Fields,1,Stratford - London Fields
St James's Park,Ealing Broadway,1,St James's Park - Ealing Broadway
Stratford,Leytonstone,1,Stratford - Leytonstone
Stratford,Lambeth North,1,Stratford - Lambeth North
Stratford,Kingsbury,1,Stratford - Kingsbury
Stratford,Kensal Rise,1,Stratford - Kensal Rise
Stonebridge Park,Southwark,1,Stonebridge Park - Southwark
Stratford,Hounslow Central,1,Stratford - Hounslow Central
Stratford,Holland Park,1,Stratford - Holland Park
Stratford,Highbury & Islington,1,Stratford - Highbury & Islington
Stratford,High Street Kensington,1,Stratford - High Street Kensington
Stratford,High Barnet,1,Stratford - High Barnet
Stratford,Heathrow T2&3 TfL Rail/HEx,1,Stratford - Heathrow T2&3 TfL Rail/HEx
Stratford,Abbey Wood,1,Stratford - Abbey Wood
Stratford,Angel,1,Stratford - Angel
Stratford,Barking,1,Stratford - Barking
Stratford,Barons Court,1,Stratford - Barons Court
Southgate,Walthamstow Central,1,Southgate - Walthamstow Central
Stamford Brook,Finsbury Park,1,Stamford Brook - Finsbury Park
